,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Barcelona,38,32,8,2,115,40,75,100
2,Real Madrid,38,26,17,5,103,42,61,85
3,Ath Madrid,38,23,23,8,65,31,34,76
4,Sociedad,38,18,28,8,70,49,21,66
5,Valencia,38,19,30,11,67,54,13,65
6,Malaga,38,16,35,13,53,50,3,57
7,Betis,38,16,36,14,57,56,1,56
8,Vallecano,38,16,39,17,50,66,-16,53
9,Sevilla,38,14,40,16,58,54,4,50
10,Getafe,38,13,42,17,43,57,-14,47
11,Levante,38,12,42,16,40,57,-17,46
12,Ath Bilbao,38,12,43,17,44,65,-21,45
13,Espanol,38,11,43,16,43,52,-9,44
14,Valladolid,38,11,44,17,49,58,-9,43
15,Granada,38,11,45,18,37,54,-17,42
16,Osasuna,38,10,47,19,33,50,-17,39
17,Celta,38,10,49,21,37,52,-15,37
18,Mallorca,38,9,49,20,43,72,-29,36
19,La Coruna,38,8,49,19,47,70,-23,35
20,Zaragoza,38,9,51,22,37,62,-25,34
